title,type,genres1,genres2,genres3,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries1
The Twilight Saga: New Moon,movie,Adventure, Drama, Fantasy,2009,tt1259571,4.8,304961,AD
Painted Fire,movie,Biography, Drama, History,2002,tt0317234,7.1,2860,KR
A Better Tomorrow II,movie,Action, Crime, Drama,1987,tt0094357,7.2,11584,HK
Days of Being Wild,movie,Crime, Drama, Romance,1990,tt0101258,7.4,26269,KR
The Young Victoria,movie,Biography, Drama, History,2009,tt0962736,7.2,67455,BM
The Cremator,movie,Comedy, Crime, Drama,1969,tt0063633,8,11327,CZ
My Tutor Friend,movie,Action, Comedy, Romance,2003,tt0348591,6.5,2578,KR
The Family Way,movie,Comedy, Drama, Romance,1966,tt0060395,7.3,1931,BG
My Girlfriend Is an Agent,movie,Action, Comedy, Romance,2009,tt1432078,6.3,2524,KR
200 Pounds Beauty,movie,Comedy, Drama, Music,2006,tt0940642,6.7,8969,ID
Scandal Makers,movie,Comedy, Drama, Music,2008,tt1360795,7.2,4454,KR
Forever the Moment,movie,Biography, Drama, Sport,2008,tt1232162,6.4,440,KR
Castaway on the Moon,movie,Comedy, Drama, Romance,2009,tt1499666,8,20052,KR
The Taking of Pelham 123,movie,Action, Crime, Thriller,2009,tt1111422,6.4,210438,AO
Neon Genesis Evangelion: The End of Evangelion,movie,Action, Animation, Drama,1997,tt0169858,8.1,67403,AD
Gamer,movie,Action, Sci-Fi, Thriller,2009,tt1034032,5.7,140714,CA
Being Julia,movie,Comedy, Drama, Romance,2004,tt0340012,7,13054,US
Clash of the Titans,movie,Action, Adventure, Fantasy,2010,tt0800320,5.8,295720,AD
Crime Story,movie,Action, Crime, Drama,1993,tt0108656,6.7,7665,HK
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,movie,Action, Adventure, Animation,2006,tt1071815,6.3,4948,AG
Ghost in the Shell: Stand Alone Complex - Solid State Society,movie,Action, Adventure, Animation,2006,tt0856797,7.8,7605,JP
3 Ninjas Kick Back,movie,Action, Comedy, Family,1994,tt0109015,4.6,10093,AE
